timestamp,link,rank,total_responses,offer_type,roommates,prijs,huurtoeslag
2020-10-31 21:40:44.554083,https://www.room.nl/aanbod/studentenwoningen/details/30043-vandervennestraat-36--b-denhaag,23,23,Direct offer,5 bewoners,"312,92",Geen huurtoeslag
2020-10-31 21:40:52.121815,https://www.room.nl/aanbod/studentenwoningen/details/30041-vandervennestraat-42--d-denhaag,17,17,Direct offer,5 bewoners,"337,92",Geen huurtoeslag
2020-10-31 21:41:06.283631,https://www.room.nl/aanbod/studentenwoningen/details/30109-waldorpstraat-47-92-c-denhaag,15,15,Direct offer,3 bewoners,"438,97",Geen huurtoeslag
2020-10-31 21:41:27.811365,https://www.room.nl/aanbod/studentenwoningen/details/30457-weteringkade-117--2-denhaag,4,4,Direct offer,4 bewoners,"480,73",Geen huurtoeslag
2020-10-31 21:41:36.606886,https://www.room.nl/aanbod/studentenwoningen/details/30112-groenewegje-134--9-denhaag,4,5,Direct offer,8 bewoners,"489,08",Geen huurtoeslag
2020-10-31 21:41:43.943640,https://www.room.nl/aanbod/studentenwoningen/details/30117-waldorpstraat-47-96-b-denhaag,9,9,Direct offer,4 bewoners,"489,10",Geen huurtoeslag
2020-10-31 21:41:52.031361,https://www.room.nl/aanbod/studentenwoningen/details/30124-waldorpstraat-47-59-b-denhaag,8,9,Direct offer,4 bewoners,"489,10",Geen huurtoeslag
2020-10-31 21:42:06.602470,https://www.room.nl/aanbod/studentenwoningen/details/30137-spaarnedwarsstraat-6--2-denhaag,4,4,Direct offer,3 bewoners,"504,63",Geen huurtoeslag
2020-10-31 21:42:14.490552,https://www.room.nl/aanbod/studentenwoningen/details/29944-waldorpstraat-47-20-a-denhaag,4,4,Direct offer,3 bewoners,"512,27",Geen huurtoeslag
2020-10-31 21:42:22.426782,https://www.room.nl/aanbod/studentenwoningen/details/30352-waldorpstraat-47-57-a-denhaag,2,2,Direct offer,3 bewoners,"512,27",Geen huurtoeslag
2020-10-31 21:42:30.025420,https://www.room.nl/aanbod/studentenwoningen/details/30074-waldorpstraat-47-55-a-denhaag,5,5,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:02.891598,https://www.room.nl/aanbod/studentenwoningen/details/30077-waldorpstraat-47-90-a-denhaag,3,3,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:10.421585,https://www.room.nl/aanbod/studentenwoningen/details/30092-waldorpstraat-47-72-a-denhaag,3,3,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:17.829462,https://www.room.nl/aanbod/studentenwoningen/details/30094-waldorpstraat-47-65-a-denhaag,2,2,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:25.702583,https://www.room.nl/aanbod/studentenwoningen/details/30100-waldorpstraat-47-112-a-denhaag,2,2,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:33.722480,https://www.room.nl/aanbod/studentenwoningen/details/30108-waldorpstraat-47-92-a-denhaag,2,2,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:41.653625,https://www.room.nl/aanbod/studentenwoningen/details/30333-waldorpstraat-47-62-a-denhaag,2,2,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:49.559655,https://www.room.nl/aanbod/studentenwoningen/details/30354-waldorpstraat-47-42-a-denhaag,4,4,Direct offer,3 bewoners,"512,82",Geen huurtoeslag
2020-10-31 21:44:57.534223,https://www.room.nl/aanbod/studentenwoningen/details/30969-groenewegje-134--6-denhaag,1,1,Direct offer,8 bewoners,"518,40",Geen huurtoeslag
2020-10-31 21:45:04.958827,https://www.room.nl/aanbod/studentenwoningen/details/30970-groenewegje-134--10-denhaag,1,1,Direct offer,8 bewoners,"518,40",Geen huurtoeslag
2020-10-31 21:45:12.972652,https://www.room.nl/aanbod/studentenwoningen/details/30974-groenewegje-133--7-denhaag,1,1,Direct offer,6 bewoners,"518,40",Geen huurtoeslag
2020-10-31 21:45:20.928199,https://www.room.nl/aanbod/studentenwoningen/details/30989-waldorpstraat-47-84-d-denhaag,1,1,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 21:45:28.991725,https://www.room.nl/aanbod/studentenwoningen/details/30075-waldorpstraat-47-91-d-denhaag,4,4,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 21:45:36.389000,https://www.room.nl/aanbod/studentenwoningen/details/30080-waldorpstraat-47-89-d-denhaag,1,1,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 21:45:44.332956,https://www.room.nl/aanbod/studentenwoningen/details/30085-waldorpstraat-47-79-d-denhaag,1,1,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 21:45:52.274294,https://www.room.nl/aanbod/studentenwoningen/details/30088-waldorpstraat-47-76-d-denhaag,2,2,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 22:00:43.636559,https://www.room.nl/aanbod/studentenwoningen/details/30093-waldorpstraat-47-64-d-denhaag,3,3,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 22:00:51.741211,https://www.room.nl/aanbod/studentenwoningen/details/30096-waldorpstraat-47-66-d-denhaag,1,2,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 22:00:59.995098,https://www.room.nl/aanbod/studentenwoningen/details/30327-waldorpstraat-47-61-d-denhaag,1,1,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 22:01:15.093974,https://www.room.nl/aanbod/studentenwoningen/details/30351-waldorpstraat-47-14-d-denhaag,1,1,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2020-10-31 22:01:22.438186,https://www.room.nl/aanbod/studentenwoningen/details/30131-bazarlaan-79--3-denhaag,3,4,Direct offer,3 bewoners,"547,86",Geen huurtoeslag
2020-10-31 22:01:30.370726,https://www.room.nl/aanbod/studentenwoningen/details/30135-bazarlaan-91--2-denhaag,5,5,Direct offer,7 bewoners,"550,67",Geen huurtoeslag
2020-11-02 15:54:58.978993,https://www.room.nl/aanbod/studentenwoningen/details/31237-waldorpstraat-47-55-c-denhaag,1,1,Direct offer,3 bewoners,"438,97",Geen huurtoeslag
2020-11-03 10:35:08.375173,https://www.room.nl/aanbod/studentenwoningen/details/31328-vandervennestraat-42--c-denhaag,2,2,Direct offer,5 bewoners,"337,92",Geen huurtoeslag
2020-11-03 10:35:32.163838,https://www.room.nl/aanbod/studentenwoningen/details/31330-waldorpstraat-47-26-c-denhaag,1,1,Direct offer,4 bewoners,"456,53",Geen huurtoeslag
2020-11-03 12:04:56.449525,https://www.room.nl/aanbod/studentenwoningen/details/31338-groenewegje-133--7-denhaag,1,1,Direct offer,6 bewoners,"518,40",Geen huurtoeslag
2020-11-03 15:07:11.644736,https://www.room.nl/aanbod/studentenwoningen/details/31346-groenewegje-134--10-denhaag,1,1,Direct offer,8 bewoners,"518,40",Geen huurtoeslag
2020-11-03 15:07:35.794852,https://www.room.nl/aanbod/studentenwoningen/details/31350-waldorpstraat-47-84-d-denhaag,1,1,Direct offer,4 bewoners,"544,97",Geen huurtoeslag
2021-06-01 19:34:37.455793,https://www.room.nl/aanbod/studentenwoningen/details/39787-arubastraat-2-k204-delft,10,10,Direct offer,zelfstandig,"641,26",Geen huurtoeslag
2021-06-01 19:34:45.045101,https://www.room.nl/aanbod/studentenwoningen/details/39796-arubastraat-2-k208-delft,7,7,Direct offer,zelfstandig,"641,26",Geen huurtoeslag
2021-06-01 19:34:52.603674,https://www.room.nl/aanbod/studentenwoningen/details/39982-arubastraat-2-k203-delft,7,8,Direct offer,zelfstandig,"641,26",Geen huurtoeslag
2021-06-01 19:39:31.799610,https://www.room.nl/aanbod/studentenwoningen/details/40032-arubastraat-2-k101-delft,4,4,Direct offer,zelfstandig,"641,26",Geen huurtoeslag
